measure,3/8,2/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4
harmony,accel,,,,4,break DOWN!!!,,,4,,,,,,,,,,,,,honki,,,,,,,,,,,,,chaos,,,,,,,,next,,
flute-I,rendaSkip-12-'e6-1-3,rendaSkip-12-'e6-1-1,rendaSkip-24-'e6-7-1,rendaSkip-24-'e6-31-1,linePos-48-'e6-'g6-1-30-0,=>,,linePos-36-'fs5-'b5-1-0-20~mp-mf,=>,=>,=>,,,,,,,linePosN-10-'ds6-'c6-1-9-0~f-mf,=>,=>,,,,,,,,,,,,lineRnd-18-'c5-'c6-7-11~mp-mf,=>,=>,,lineRnd-18-'c5-'c6-7-11~mp-mf,=>,=>,,,,,,,
piccolo,rendaSkip-12-'cs7-1-3,rendaSkip-10-'cs7-1-1,rendaSkip-20-'cs7-7-1,rendaSkip-20-'cs7-31-1,linePos-40-'cs6-'e6-1-30-0,=>,,,,linePos-40-'c6-'cs7-1-27-0~mp-f,=>,,,,,,,linePosN-8-'as6-'g6-1-7-0~f-mf,=>,=>,,,,,,,,,,,,,lineRnd-18-'c6-'c7-7-11~mp-mf,=>,=>,,lineRnd-18-'c6-'c7-7-11~mp-mf,=>,=>,,,,,,
oboe-I,rendaSkip-12-'d5-1-3,rendaSkip-12-'d5-1-1,rendaSkip-24-'d5-7-1,rendaSkip-24-'d5-31-1,linePos-48-'d5-'f5-1-42-0,=>,,linePos-10-'gs4-'cs5-1-0-9~mp-mf,=>,=>,,,line-16-'c6-'c4~f-mf,=>,=>,,,linePosN-12-'gs5-'f5-1-11-0~f-mf,=>,=>,,,,,,,,,,,,lineRnd-24-'c4-'a5-7-15~mp-mf,=>,=>,,lineRnd-24-'c4-'a5-7-15~mp-mf,=>,=>,,,,,,,
oboe-II,,,,,,,,,,,,line-16-'c6-'c4~f-mf,=>,=>,,,,linePosN-5-'cs5-'as4-1-3-0~f-mf,=>,=>,,,,,,,,,,,,,lineRnd-24-'c4-'a5-7-15~mp-mf,=>,=>,,lineRnd-24-'c4-'a5-7-15~mp-mf,=>,=>,,,,,,
clarinet-I,rendaSkip-12-'b4-1-3,rendaSkip-8-'b4-1-1,rendaSkip-16-'b4-7-1,rendaSkip-16-'b4-31-1,linePos-32-'b4-'d5-1-27-0,=>,,,,linePos-32-'c4-'d5-1-0-27~mp-mf,=>,=>,=>,,,,,linePosN-18-'b3-'gs3-1-16-0~f-mf,=>,=>,,,,,,,,,,,lineRnd-18-'d3-'a4-7-11~mp-mf,=>,=>,,lineRnd-18-'d3-'a4-7-11~mp-mf,=>,=>,,,,,,,,
bass-clarinet,,,,,,,line-5-'c3-'e3,=>,=>,,,,,,,,,linePosN-4-'e3-'cs3-1-3-0~f-mf,=>,=>,,,,,,,,,,,,lineRnd-18-'d2-'a3-7-11~mp-mf,=>,=>,,lineRnd-18-'d2-'a3-7-11~mp-mf,=>,=>,,,,,,,
bassoon-I,,,,,,,,,linePos-10-'e3-'g2-1-0-9~mp,=>,=>,=>,=>,renda-1-'fs1,,,,linePosN-5-'fs4-'ds4-1-4-0~f-mf,=>,=>,,,,,,,,,,,lineRnd-24-'c3-'f4-7-15~mp-mf,=>,=>,,lineRnd-24-'c3-'f4-7-15~mp-mf,=>,=>,,,,,,,,
contrabassoon,,,,,lineEnd-5-'a1-'c1-1-4~mp-mf,=>,=>,=>,,,,,,,,,,linePosN-6-'c2-'a1-1-5-0~f-mf,=>,=>,,,,,,,,,,,,lineRnd-24-'c3-'f4-7-15~mp-mf,=>,=>,,lineRnd-24-'c3-'f4-7-15~mp-mf,=>,=>,,,,,,,
horn-I,rendaSkip-12-'d5-1-3,rendaSkip-10-'d5-1-1,rendaSkip-20-'d5-7-1,rendaSkip-20-'d5-31-1,linePos-40-'d5-'f5-1-37-0,=>,,,linePos-36-'gb4-'db4-1-33-0~f-mf,=>,=>,=>,=>,=>,,,,linePosN-4-'b4-'gs4-1-3-0~f-mf,=>,=>,,,,,,lineRnd-18-'f4-'c5-16-17~mp-f,=>,=>,=>,=>,=>,,,,,lineRnd-12-'f4-'c5-16-17~mp-f,=>,=>,=>,,,,,,
