measure,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4
harmony,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,
piccolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flute-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flute-II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oboe-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oboe-II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clarinet-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clarinet-II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bassoon-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bassoon-II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horn-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horn-II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horn-III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horn-IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trumpet-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trumpet-II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trumpet-III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trombone-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trombone-II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b-trombone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glockenspiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
violin-I-1,random-2-3-'gs3-'d4~ppp,=>,=>,=>,=>,random-2-3-'ds4-'a4~pp,=>,=>,=>,random-2-3-'f5-'b5~p,=>,=>,random-2-3-'f5-'e6~mp,=>,random-2-3-'f5-'e6,random-2-5-'f5-'e6,random-2-7-'f5-'e6,random-2-13-'f5-'e6,random-2-17-'f5-'e6,random-2-30-'f5-'e6,random-24-30-'f5-'e6,random-24-30-'f5-'e6,random-24-30-'f5-'e6,,,,,,,,,,,,,,,,,
violin-I-2,random-2-3-'gs3-'d4~ppp,=>,=>,=>,=>,random-2-3-'ds4-'a4~pp,=>,=>,=>,random-2-3-'f5-'b5~p,=>,=>,random-2-3-'f5-'e6~mp,=>,random-2-3-'f5-'e6,random-2-5-'f5-'e6,random-2-7-'f5-'e6,random-2-13-'f5-'e6,random-2-17-'f5-'e6,random-2-30-'f5-'e6,random-24-30-'f5-'e6,random-24-30-'f5-'e6,random-24-30-'f5-'e6,random-24-30-'f5-'e6,random-24-30-'f5-'e6,,,,,,,,,,,,,,,
violin-I-3,random-2-3-'gs3-'d4~ppp,=>,=>,=>,=>,random-2-3-'ds4-'a4~pp,=>,=>,=>,random-2-3-'f5-'b5~p,=>,=>,random-2-3-'f5-'e6~mp,=>,random-2-3-'f5-'e6,random-2-5-'f5-'e6,random-2-7-'f5-'e6,random-2-13-'f5-'e6,random-2-17-'f5-'e6,random-2-30-'f5-'e6,random-24-30-'f5-'e6,random-24-30-'f5-'e6,random-24-30-'f5-'e6,random-24-30-'f5-'e6,random-24-30-'f5-'e6,,,,,,,,,,,,,,,
violin-I-4,random-2-3-'gs3-'d4~ppp,=>,=>,=>,=>,random-2-3-'ds4-'a4~pp,=>,=>,=>,random-2-3-'as4-'e5~p,=>,=>,random-2-3-'as4-'a5~mp,=>,random-2-3-'as4-'a5,random-2-5-'as4-'a5,random-2-7-'as4-'a5,random-2-13-'as4-'a5,random-2-17-'as4-'a5,random-2-30-'as4-'a5,random-24-30-'as4-'a5,random-24-30-'as4-'a5,random-24-30-'as4-'a5,random-24-30-'as4-'a5,random-24-30-'as4-'a5,random-24-30-'as4-'a5,,,,,,,,,,,,,,
