measure,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,2/4,4/4,4/4,4/4,2/4,4/4,4/4,2/4,2/4,4/4,7/8,2/4,4/4,3/8,2/4
harmony,B,,,,,,,,,,,,,intermission,strings,,,intermission,winds,,,intermission,brass,,intermission,strings,,intermission
flute-I,,,,,,,,,,,rendaSkip-64-'c6-1-6,=>,,,,,,,rendaSkip-80-'f6-1-2,=>,=>,,,,,,rendaSkip-28-'e6-5-1,=>
flute-II,,,,,,,,,,,rendaSkip-40-'b5-1-6,=>,,,,,rendaSkip-128-'e7-1-1,=>,=>,=>,=>,,,,,,rendaSkip-28-'cs6-5-1,=>
oboe-I,,rendaSkip-16-'g4-1-15,,,,rendaSkip-16-'g4-1-15,rendaSkip-16-'g4-1-15,,,,rendaSkip-48-'a5-1-12,=>,,,,,,,rendaSkip-60-'a5-1-2,=>,=>,,,,,,rendaSkip-28-'d5-3-1,=>
oboe-II,,rendaSkip-24-'g4-1-24,,,,rendaSkip-16-'g4-1-15,rendaSkip-16-'g4-1-15,,,,rendaSkip-32-'g5-1-5,=>,,,,,,,rendaSkip-50-'b4-1-2,=>,=>,,,,,,,
clarinet-I,,,rendaSkip-16-'g4-1-15,,,,rendaSkip-32-'g4-1-20,,,,,rendaSkip-20-'a4-1-5,,,,,,,rendaSkip-40-'d4-1-2,=>,=>,,,,,,rendaSkip-28-'b4-3-1,=>
clarinet-II,,,rendaSkip-20-'g4-1-19,,,,rendaSkip-16-'a4-1-17,,,,,rendaSkip-64-'b4-1-2,=>,,,,,,rendaSkip-30-'c3-1-2,=>,=>,,,,,,,
bassoon-I,,,,,,,,rendaSkip-32-'g3-1-15,rendaSkip-32-'g3-1-15,,,,rendaSkip-12-'c3-1-5,,,,,,,rendaSkip-12-'a2-1-2,=>,,,,,,,
bassoon-II,,,,,,,,rendaSkip-24-'g3-1-15,rendaSkip-24-'g3-1-15,,,,rendaSkip-16-'c3-1-6,,,,,,,rendaSkip-9-'a1-1-2,=>,,,,,,,
horn-I,rendaSkip-16-'g4-1-15,,,,,rendaSkip-16-'g4-1-10,,,,,rendaSkip-32-'a4-1-10,=>,rendaSkip-24-'a4-1-4,,,,,,,,,,rendaSkip-4-'d5-3-1,=>,,,rendaSkip-28-'d5-3-1,=>
horn-II,rendaSkip-12-'g4-1-12,,,,,rendaSkip-16-'a4-1-7,,,,,rendaSkip-20-'g3-1-10,=>,,,,,,,,,,,rendaSkip-5-'g4-3-1,=>,,,rendaSkip-28-'b4-3-1,=>
horn-III,,,rendaSkip-16-'g4-1-15,,,,,,,,rendaSkip-16-'f4-1-10,,,,,,,,,,,,rendaSkip-4-'b4-3-1,=>,,,,
horn-IV,,,rendaSkip-24-'g4-1-20,,,,,,,rendaSkip-32-'d3-1-5,=>,,,,,,,,,,,,rendaSkip-5-'e4-3-1,=>,,,,
trumpet-I,,,,rendaSkip-32-'g4-1-30,,,,rendaSkip-8-'g4-3-4,,,,rendaSkip-24-'e5-1-6,=>,,,,,,,,,,rendaSkip-30-'c6-3-1,=>,,,rendaSkip-28-'g4-4-1,=>
trumpet-II,,,,rendaSkip-24-'g4-1-30,,,,rendaSkip-40-'a4-1-3,,,,,rendaSkip-20-'d4-1-6,,,,,,,,,,rendaSkip-30-'g5-3-1,=>,,,rendaSkip-28-'fs4-4-1,=>
trumpet-III,,,,rendaSkip-20-'g4-1-30,,,,rendaSkip-24-'g4-1-32,,,,,rendaSkip-80-'b4-1-1,=>,=>,,,,,,,,rendaSkip-30-'c5-3-1,=>,,,,
trombone-I,,,,,,,rendaSkip-16-'g3-1-15,,,,,rendaSkip-16-'e4-1-4,=>,,,,,,,,,,rendaSkip-10-'a3-3-1,=>,,,,
trombone-II,,,,,,,rendaSkip-16-'g3-1-15,,,,,rendaSkip-20-'a3-1-4,=>,,,,,,,,,,rendaSkip-4-'g3-3-1,=>,,,,
b-trombone,,,,,,,,,,rendaSkip-16-'c2-1-9,,,rendaSkip-24-'f3-1-3,,,,,,,,,,rendaSkip-5-'d3-3-1,=>,,,,
tuba,,,,,,,,,,rendaSkip-12-'c2-1-9,,,rendaSkip-8-'f3-1-5,,,,,,,,,,rendaSkip-4-'c3-3-1,=>,,,,
percussion,,rendaSkip-32-'b3-1-32,,,,rendaSkip-32-'b3-1-32,,,,rendaSkip-32-'b3-1-15,,rendaSkip-16-'b3-1-10,,,,,,,,,,,,,,,,
