measure,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,4/4,5/8,5/8,4/4,4/4,7/8,7/8,4/4,4/4,2/4,2/4,4/4,5/8,4/4,7/8,2/4,1/4,1/4,1/4,1/4,1/4,1/4,1/4,1/4
harmony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,
flute-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line-16-'g4-'c6,=>,line-16-'g4-'c6,=>,line-16-'g4-'c6,=>,line-16-'g4-'c6,=>,line-16-'g4-'c6,=>,line-16-'g4-'c6,=>,line-16-'g4-'c6,line-16-'g4-'c6,line-16-'g4-'c6,line-16-'g4-'c6,line-16-'g4-'c6,line-4-'g4-'c6,,,,line-4-'g4-'c6,,,
flute-II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lineEnd-16-'g4-'c6-1-9,=>,lineEnd-16-'g4-'c6-1-9,=>,lineEnd-16-'g4-'c6-1-9,=>,lineEnd-16-'g4-'c6-1-9,=>,lineEnd-16-'g4-'c6-1-9,=>,lineEnd-16-'g4-'c6-1-9,=>,lineEnd-16-'g4-'c6-1-9,lineEnd-16-'g4-'c6-1-9,lineEnd-16-'g4-'c6-1-9,lineEnd-16-'g4-'c6-1-9,lineEnd-16-'g4-'c6-1-9,,line-5-'g4-'c6,,,,line-5-'g4-'c6,,
oboe-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lineEnd-16-'g4-'c6-1-10,=>,lineEnd-16-'g4-'c6-1-10,=>,lineEnd-16-'g4-'c6-1-10,=>,lineEnd-16-'g4-'c6-1-10,=>,lineEnd-16-'g4-'c6-1-10,=>,lineEnd-16-'g4-'c6-1-10,=>,lineEnd-16-'g4-'c6-1-10,lineEnd-16-'g4-'c6-1-10,lineEnd-16-'g4-'c6-1-10,lineEnd-16-'g4-'c6-1-10,lineEnd-16-'g4-'c6-1-10,,,line-6-'g4-'c6,,,,line-6-'g4-'c6,
oboe-II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lineEnd-16-'g4-'c6-1-11,=>,lineEnd-16-'g4-'c6-1-11,=>,lineEnd-16-'g4-'c6-1-11,=>,lineEnd-16-'g4-'c6-1-11,=>,lineEnd-16-'g4-'c6-1-11,=>,lineEnd-16-'g4-'c6-1-11,=>,lineEnd-16-'g4-'c6-1-11,lineEnd-16-'g4-'c6-1-11,lineEnd-16-'g4-'c6-1-11,lineEnd-16-'g4-'c6-1-11,lineEnd-16-'g4-'c6-1-11,,,,line-4-'g4-'c6,,,,line-4-'g4-'c6
clarinet-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lineEnd-16-'g4-'c6-1-12,=>,lineEnd-16-'g4-'c6-1-12,=>,lineEnd-16-'g4-'c6-1-12,=>,lineEnd-16-'g4-'c6-1-12,=>,lineEnd-16-'g4-'c6-1-12,=>,lineEnd-16-'g4-'c6-1-12,=>,lineEnd-16-'g4-'c6-1-12,lineEnd-16-'g4-'c6-1-12,lineEnd-16-'g4-'c6-1-12,lineEnd-16-'g4-'c6-1-12,lineEnd-16-'g4-'c6-1-12,,,,,,,,
clarinet-II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lineEnd-16-'g4-'c6-1-13,=>,lineEnd-16-'g4-'c6-1-13,=>,lineEnd-16-'g4-'c6-1-13,=>,lineEnd-16-'g4-'c6-1-13,=>,lineEnd-16-'g4-'c6-1-13,=>,lineEnd-16-'g4-'c6-1-13,=>,lineEnd-16-'g4-'c6-1-13,lineEnd-16-'g4-'c6-1-13,lineEnd-16-'g4-'c6-1-13,lineEnd-16-'g4-'c6-1-13,lineEnd-16-'g4-'c6-1-13,,,,,,,,
bassoon-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bassoon-II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horn-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
